invoice_id,vendor_id,amount,date,fraud_label,duplicate_flag,invoice_count,avg_amount,weekend_flag,day_of_week,month,high_amount_flag,is_weekend,bank_change_flag,ghost_vendor_flag,velocity_spike,first_digit,benford_score,scenario,anomaly_flag,anomaly_score,is_weekend_entry,is_outside_office_hours,user_manual_entry_history,is_manual_flag,manual_pattern_score,rolling_volatility,volatility_shock,invoice_amount,posting_month,is_late_flag,vendor_past_late_ratio,manual_history,discount_risk_score,late_payment_risk
4014451,V10640,5522.2,13-01-2023 11:00,0,0,7085,161822.1189,0,4,1,0,0,0,0,0,5,0.079,standard,0,0.153035926,0,0,0.370501059,0,0.000114338,341328.424,0,5522.2,1,0,0.012844037,0.370501059,0.07047307,0.093034208
5053384,V10894,172880.03,15-01-2023 18:00,0,0,7352,177000.5282,1,6,1,0,1,0,0,0,1,0.301,standard,1,-0.012680937,1,1,0.37078346,1,0.999916824,76685.58333,0,172880.03,1,1,0.445457018,0.37078346,1,1
4872214,V10502,18923.37,15-01-2023 12:00,0,0,7374,182302.2357,1,6,1,0,1,0,0,0,1,0.301,standard,1,-0.02603425,1,1,0.37944128,1,0.999917685,113303.0971,0,18923.37,1,0,0.491998915,0.37944128,1,1
4676233,V10894,79303.68,14-01-2023 19:00,0,0,7352,177000.5282,1,5,1,0,1,0,0,0,7,0.058,standard,1,-0.011840527,1,1,0.37078346,1,0.999916821,419830.5031,0,79303.68,1,1,0.445457018,0.37078346,1,1
5055851,V10894,180620.24,15-01-2023 18:00,0,0,7352,177000.5282,1,6,1,0,1,0,0,0,1,0.301,standard,1,-0.016176155,1,1,0.37078346,1,0.999916839,81204.09153,0,180620.24,1,1,0.445457018,0.37078346,1,1
4135287,V10699,35836.23,13-01-2023 15:00,0,0,7370,159601.4451,0,4,1,0,0,0,0,0,3,0.125,standard,0,0.082483432,0,0,0.371777476,0,0.000114908,214118.9585,0,35836.23,1,0,0.03256445,0.371777476,0.312421543,0.282481752
79101,V10502,86883.9,01-01-2023 10:00,0,0,7374,182302.2357,1,6,1,0,1,0,0,0,8,0.051,standard,1,-0.044744105,1,1,0.37944128,1,0.999917762,117747.8028,0,86883.9,1,1,0.491998915,0.37944128,1,1
3442932,V10150,3337.92,11-01-2023 17:00,0,0,7084,147900.6964,0,2,1,0,0,0,0,0,3,0.125,standard,0,0.084083653,0,0,0.360248447,0,0.000113419,64187.79265,0,3337.92,1,0,0.017786561,0.360248447,0.090506015,0.12146993
4997331,V10535,479790.12,15-01-2023 16:00,0,0,7066,154769.2853,1,6,1,1,1,0,0,0,4,0.097,low_volume,0,0,1,0,0.375035381,1,0.999917168,667428.8125,1,479790.12,1,0,0,0.375035381,0.212180393,0.230200755
506798,V10502,193682.96,01-01-2023 20:00,0,0,7374,182302.2357,1,6,1,0,1,0,0,0,1,0.301,standard,1,-0.049467537,1,1,0.37944128,1,0.999917781,78224.21401,0,193682.96,1,1,0.491998915,0.37944128,1,1
4555164,V10814,8745237.86,14-01-2023 15:00,0,0,7148,164825.4058,1,5,1,1,1,0,0,0,8,0.051,expense,1,-0.090233249,1,1,0.374510353,1,0.999917493,3216784.325,1,8745237.86,1,1,0.002797985,0.374510353,1,1
2371383,V10986,317001.41,08-01-2023 23:00,0,0,7236,157988.3415,1,6,1,0,1,0,0,0,3,0.125,expense,0,0.188872702,1,0,0.36511885,1,0.999915444,191390.6982,0,317001.41,1,0,0.001243781,0.36511885,0.16463573,0.145403751
4907529,V10559,12836.81,15-01-2023 13:00,0,0,7094,151169.9862,1,6,1,0,1,0,0,0,1,0.301,standard,0,0.104981761,1,0,0.358894841,1,0.999915207,89539.43454,0,12836.81,1,0,0.005215675,0.358894841,0.048874708,0.061664629
2803990,V10785,244745.94,10-01-2023 09:00,0,0,7080,162650.8129,0,1,1,0,0,0,0,0,2,0.176,standard,0,0.0863982,0,0,0.363983051,0,0.000113883,93094.11899,0,244745.94,1,0,0.015819209,0.363983051,0.199441348,0.240502181
4816696,V10894,97229.7,15-01-2023 10:00,0,0,7352,177000.5282,1,6,1,0,1,0,0,0,9,0.046,standard,1,-0.031021939,1,1,0.37078346,1,0.999916901,148932.7252,0,97229.7,1,1,0.445457018,0.37078346,1,1
1304792,V10577,2919.71,06-01-2023 16:00,0,0,7158,155203.8245,0,4,1,0,0,0,0,0,2,0.176,standard,0,0.174741427,0,0,0.362531433,0,0.000113196,441341.6208,0,2919.71,1,0,0.001676446,0.362531433,0.043323968,0.048272819
499880,V10502,189167.63,01-01-2023 20:00,0,0,7374,182302.2357,1,6,1,0,1,1,0,0,1,0.301,standard,1,-0.044653407,1,1,0.37944128,1,0.999917761,124136.159,0,189167.63,1,1,0.491998915,0.37944128,1,1
4207957,V10590,15001.4,13-01-2023 17:00,0,0,7239,171834.141,0,4,1,0,0,0,0,0,1,0.301,standard,0,0.103883891,0,0,0.373394115,0,0.000114993,139324.4284,0,15001.4,1,0,0.040198923,0.373394115,0.335226335,0.368233631
